plate_RI,plate_thickness,dn_t,405nm,488nm,561nm,647nm,immersion,config
1.4800,0.283,-0.0221,0.269,0.328,0.395,0.484,1.56,1
1.4900,0.283,-0.0192,0.321,0.415,0.503,0.589,1.56,1
1.5000,0.283,-0.0164,0.418,0.536,0.618,0.694,1.56,1
1.5100,0.283,-0.0136,0.558,0.663,0.731,0.789,1.56,1
1.5200,0.283,-0.0108,0.703,0.783,0.83,0.869,1.56,1
1.5300,0.283,-0.0079,0.834,0.882,0.909,0.931,1.56,1
1.5400,0.283,-0.0051,0.931,0.952,0.964,0.972,1.56,1
1.5500,0.283,-0.0023,0.987,0.991,0.993,0.995,1.56,1
1.5600,0.283,0.0006,0.999,0.999,1,1,1.56,1
1.5700,0.283,0.0034,0.974,0.982,0.986,0.99,1.56,1
1.5800,0.283,0.0062,0.919,0.944,0.957,0.968,1.56,1
1.5900,0.283,0.0091,0.846,0.891,0.916,0.936,1.56,1
1.6000,0.283,0.0119,0.762,0.828,0.867,0.898,1.56,1
1.6100,0.283,0.0147,0.675,0.761,0.813,0.855,1.56,1
1.6200,0.283,0.0175,0.591,0.693,0.757,0.81,1.56,1
1.6300,0.283,0.0204,0.512,0.626,0.7,0.764,1.56,1
1.5000,0.349,-0.0202,0.087,0.119,0.149,0.188,1.56,2
1.5100,0.349,-0.0168,0.131,0.176,0.211,0.252,1.56,2
1.5200,0.349,-0.0133,0.201,0.254,0.307,0.351,1.56,2
1.5300,0.349,-0.0098,0.318,0.373,0.426,0.504,1.56,2
1.5400,0.349,-0.0063,0.52,0.624,0.694,0.757,1.56,2
1.5500,0.349,-0.0028,0.879,0.915,0.934,0.95,1.56,2
1.5600,0.349,0.0007,0.993,0.995,0.996,0.997,1.56,2
1.5700,0.349,0.0042,0.793,0.851,0.885,0.912,1.56,2
1.5800,0.349,0.0077,0.521,0.627,0.698,0.76,1.56,2
1.5900,0.349,0.0112,0.354,0.437,0.519,0.602,1.56,2
1.6000,0.349,0.0147,0.281,0.338,0.39,0.469,1.56,2
1.6100,0.349,0.0181,0.214,0.285,0.328,0.376,1.56,2
1.6200,0.349,0.0216,0.175,0.233,0.284,0.328,1.56,2
1.4000,0.283,-0.0170,0.385,0.502,0.587,0.666,1.46,1
1.4100,0.283,-0.0142,0.522,0.632,0.704,0.766,1.46,1
1.4200,0.283,-0.0113,0.67,0.757,0.809,0.852,1.46,1
1.4300,0.283,-0.0085,0.808,0.863,0.894,0.919,1.46,1
1.4400,0.283,-0.0057,0.914,0.94,0.954,0.965,1.46,1
1.4500,0.283,-0.0028,0.979,0.986,0.989,0.992,1.46,1
1.4600,0.283,0.0000,1,1,1,1,1.46,1
1.4700,0.283,0.0028,0.982,0.987,0.99,0.993,1.46,1
1.4800,0.283,0.0057,0.933,0.953,0.964,0.973,1.46,1
1.4900,0.283,0.0085,0.863,0.903,0.926,0.944,1.46,1
1.5000,0.283,0.0113,0.782,0.843,0.879,0.907,1.46,1
1.5100,0.283,0.0142,0.696,0.778,0.827,0.866,1.46,1
1.5200,0.283,0.0170,0.613,0.711,0.772,0.823,1.46,1
1.4000,0.349,-0.0209,0.077,0.107,0.136,0.169,1.46,2
1.4100,0.349,-0.0175,0.116,0.157,0.196,0.23,1.46,2
1.4200,0.349,-0.0140,0.183,0.229,0.279,0.331,1.46,2
1.4300,0.349,-0.0105,0.286,0.348,0.389,0.454,1.46,2
1.4400,0.349,-0.0070,0.452,0.558,0.634,0.704,1.46,2
1.4500,0.349,-0.0035,0.815,0.868,0.898,0.922,1.46,2
1.4600,0.349,0.0000,1,1,1,1,1.46,2
1.4700,0.349,0.0035,0.849,0.893,0.917,0.937,1.46,2
1.4800,0.349,0.0070,0.576,0.676,0.74,0.795,1.46,2
1.4900,0.349,0.0105,0.377,0.476,0.558,0.638,1.46,2
1.5000,0.349,0.0140,0.3,0.356,0.416,0.501,1.46,2
1.5100,0.349,0.0175,0.233,0.3,0.341,0.397,1.46,2
1.5200,0.349,0.0209,0.184,0.25,0.298,0.34,1.46,2